Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Definition,5,mesg_capabilities,mesg_num,1,,count,1,,file,1,,count_type,1,,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"3",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"4",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"5",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"6",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"127",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"147",,num_per_file,"20",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"8",,num_per_file,"6",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"53",,num_per_file,"11",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"9",,num_per_file,"8",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"14",,num_per_file,"7",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"14",,num_per_file,"20",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"16",,num_per_file,"10",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"74",,num_per_file,"1",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"17",,num_per_file,"5",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"152",,num_per_file,"1",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"144",,num_per_file,"5",,file,"33",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"19",,max_per_file_type,"200",,file,"6",,count_type,"2",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"20",,max_per_file_type,"14000",,file,"6",,count_type,"2",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"32",,max_per_file_type,"100",,file,"6",,count_type,"2",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"158",,max_per_file,"5",,file,"5",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"27",,max_per_file,"50",,file,"5",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"28",,max_per_file,"200",,file,"7",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"137",,max_per_file,"5",,file,"7",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"29",,max_per_file,"100",,file,"8",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"30",,num_per_file,"20",,file,"9",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"114",,num_per_file,"10",,file,"29",,count_type,"0",,,,,,,,,,,
Definition,6,field_capabilities,mesg_num,1,,count,1,,file,1,,field_num,1,,,,,,,,,,,
Data,6,field_capabilities,mesg_num,"14",,count,"4",,file,"3",,field_num,"5",,,,,,,,,,,
Data,6,field_capabilities,mesg_num,"14",,count,"4",,file,"3",,field_num,"7",,,,,,,,,,,
Data,6,field_capabilities,mesg_num,"20",,count,"1",,file,"4",,field_num,"0",,,,,,,,,,,
Data,6,field_capabilities,mesg_num,"20",,count,"1",,file,"4",,field_num,"1",,,,,,,,,,,
Definition,7,unknown,unknown,16,,unknown,16,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,
Data,7,unknown,unknown,"WIFI",,unknown,"OUT.BIN",,unknown,"0",,unknown,"1",,unknown,"2",,unknown,"0",,,,,
Data,7,unknown,unknown,"WIFI",,unknown,"IN.BIN",,unknown,"1",,unknown,"1",,unknown,"4",,unknown,"0",,,,,
Data,7,unknown,unknown,"REMOTESW",,unknown,"EPO.BIN",,unknown,"2",,unknown,"1",,unknown,"4",,unknown,"1",,,,,
